4.889,3.398
5.506,4.155
5.786,4.348
5.512,4.01
5.583,4.023
5.76,4.473
5.157,3.688
5.435,3.945
5.949,4.385
4.836,3.688
5.402,3.918
5.496,4.075
4.761,3.53
5.247,3.963
6.276,4.65
5.415,4.008
5.236,3.773
6.184,4.538
6.286,4.445
5.458,3.978
5.807,4.088
6.158,4.493
5.765,4.033
6.015,4.388
5.886,4.4
5.137,3.74
4.686,3.28
4.906,3.418
5.169,3.56
4.729,3.35
5.229,3.743
5.111,3.498
5.757,3.813
6.072,4.478
5.424,3.78
6.003,4.463
5.567,3.88
5.875,4.235
5.849,4.188
5.631,3.96
6.17,4.243
5.393,3.845
4.959,3.543
5.258,3.488
5.359,3.59
5.307,3.608
4.941,3.235
5.43,3.828
6.036,4.243
5.356,3.615
4.971,3.418
5.309,3.54
5.891,3.97
5.691,3.883
5.262,3.643
4.95,3.228
4.677,2.957
5.196,3.668
3.628,2.4
3.814,.441
4.297,0
4.411,0
4.711,0
4.122,0
4.297,0
4.245,0
3.703,0
4.342,0
3.59,0
3.167,0
3.714,0
3.943,0
3.829,0
4.222,0
4.143,0
4.466,0
4.359,0
4.009,0
3.745,0
3.431,0
3.57,0
4.288,0
4.28,0
4.346,0
3.553,0
3.556,0
3.663,0
3.63,0
3.522,0
3.987,0
3.92,0
4.131,0
3.599,0
3.597,0
3.772,0
3.521,0
3.174,0
3.115,0
3.101,0
3.104,0
3.061,0
3.071,0
2.54,0
2.678,0
2.439,0
2.804,0
3.217,0
3.83,0
3.507,0
3.711,0
3.718,0
4.038,0
3.65,0
3.581,0
3.829,0
3.605,0
3.268,0
3.415,0
3.567,0
4.66,0
3.874,0
3.676,0
4.043,0
4.109,0
4.568,0
3.899,0
4.559,0
3.908,0
3.503,0
3.84,0
3.889,0
3.885,0
4.618,0
4.326,0
4.756,0
4.394,0
4.494,0
4.628,0
3.804,0
4.073,0
4.614,0
4.848,0
4.868,0
5.288,0
4.969,0
4.97,0
4.655,0
4.804,0
4.092,0
4.291,0
4.486,0
4.051,0
3.499,0
4.002,0
4.106,0
4.133,0
3.944,0
4.052,0
3.761,0
4.25,0
4.366,0
3.756,0
4.123,0
3.43,1.895
3.517,2.23
3.662,2.235
3.688,2.415
3.877,2.562
3.31,2.287
3.405,2.008
3.472,2.215
3.516,2.292
3.014,1.855
3.421,2.215
3.007,1.89
3.236,2.25
3.038,1.975
3.136,2.112
2.896,1.807
3.077,1.925
2.782,1.877
3.297,2.242
3.534,2.23
3.19,1.985
2.807,1.622
3.151,2.177
3.163,2.012
2.656,1.885
2.94,1.82
2.903,1.892
2.693,1.82
2.477,1.697
2.682,1.755
2.698,1.835
2.964,1.882
2.795,1.727
2.57,1.52
2.259,1.375
2.55,1.662
2.701,1.66
2.592,1.752
2.22,1.324
2.421,1.342
2.125,1.2
2.732,1.725
2.262,1.215
2.442,1.245
2.466,1.388
2.106,1.41
1.617,.735
2.307,1.46
2.511,1.375
2.382,1.527
2.222,1.29
2.051,1.008
1.689,.802
1.685,.901
1.837,.833
1.612,.545
2.058,.839
1.816,.75
1.653,.33
1.565,.486
1.388,.3
1.374,.682
1.459,.752
1.451,.552
1.571,.817
1.339,.402
1.309,.082
.977,.06
1.135,.282
1.502,.477
1.922,1.061
1.855,.847
1.862,.99
2.15,1.467
2.246,1.43
2.074,1.202
1.621,.784
1.488,.613
1.507,.795
1.581,.867
1.56,.686
1.391,.222
1.585,.434
1.201,.167
1.326,.354
1.437,.354
1.102,.335
1.071,.17
1.053,.198
1.018,.08
1.091,.239
1.087,.079
1.02,.088
.804,0
1.038,.044
1.206,.027
1.07,0
.997,0
.776,0
.148,0
.339,0
.36,0
.267,0
.006,0
.666,0
.721,0
.316,0
.307,0
.533,0
.748,0
.733,0
.93,.151
.92,.05
.566,0
.402,0
.102,0
0,0
0,0
0,0
0,0
0,0
.128,0
.025,0
0,0
0,0
0,0
0,0
0,0
.264,0
.076,0
.687,.019
1.395,.374
1.298,.137
1.418,.342
1.752,.802
1.876,.9
1.747,.965
1.669,.692
1.631,.784
1.54,.767
1.821,.856
1.889,1.064
1.838,.951
1.459,.569
1.58,.4
1.504,.57
1.405,.389
1.532,.63
1.695,.946
1.577,.728
1.795,.844
1.935,.99
1.649,.734
1.688,.699
1.42,.475
1.513,.423
1.48,.521
1.957,.955
1.926,.93
2.135,1.155
1.834,.901
1.814,.975
1.842,.976
1.711,1.045
1.347,.359
1.745,.712
1.441,.662
1.529,.904
1.741,1.061
1.679,.904
1.757,.958
1.925,.953
1.64,.878
1.513,.871
1.512,.616
1.206,.208
.803,0
.959,.175
1.104,.43
.863,.048
.831,.025
1.217,.405
1.267,.639
1.376,.67
1.564,.775
1.151,.327
1.631,.86
1.42,.759
1.318,.611
1.151,.326
1.346,.671
1.183,.554
1.307,.801
1.326,.721
1.404,.778
1.317,.569
.921,.153
.926,.368
.996,.165
.968,.306
.627,0
.423,0
.757,.215
.901,.018
.911,.071
.943,.184
1.232,.575
.907,.124
1.191,.349
1.668,.924
1.589,.917
1.924,1.049
1.611,.811
1.454,.69
1.692,.959
1.637,1.084
1.485,.657
1.722,1.065
1.865,1.196
1.586,.994
1.105,.4
.938,.194
1.201,.425
1.245,.337
1.059,.411
1.264,.557
1.42,.842
1.315,.775
.87,.124
.79,.195
.797,.046
.931,.163
1.206,.826
1.442,1.008
1.644,1.056
1.837,1.367
1.93,1.323
1.659,1.084
1.724,1.287
1.63,1.166
1.441,.776
1.255,.659
1.295,.678
1.224,.889
1.52,.975
1.104,.443
1.256,.603
1.204,.547
.988,.369
1.477,.82
1.244,.831
1.738,1.147
1.761,1.214
1.53,1.098
